author,rate,title
作者:武玉成，顾丛龙注,9.4,宋词三百首
作者:刘向/宋韬（译注）,9.1,战国策
作者:RobertC.Martin,9.0,敏捷软件开发
作者:汤显祖,9.0,牡丹亭
作者:夏承焘/等,9.4,宋词鉴赏辞典
作者:[瑞典]阿斯特丽德·林格伦,9.0,长袜子皮皮
作者:陈鼓应,9.3,老子注译及评介
作者:彭一刚,9.1,中国古典园林分析
作者:芦原义信,9.0,外部空间设计
作者:老舍,9.1,四世同堂（上下）
作者:[英]莎士比亚,9.4,莎士比亚全集（全8册）
作者:[美]菲利普·津巴多/[美]罗伯特·约翰逊/[美]安·韦伯,9.4,津巴多普通心理学
作者:ElisabethFreeman//EricFreeman/BertBates/KathySierra/ElisabethRobson,9.2,HeadFirst设计模式（中文版）
作者:金庸,9.1,天龙八部
作者:吴楚材/吴调侯,9.1,古文观止
作者:[美]HaroldAbelson/[美]GeraldJaySussman/[美]JulieSussman,9.5,计算机程序的构造和解释(原书第2版)
作者:[美]约翰.墨菲,9.1,期货市场技术分析
作者:本杰明·格雷厄姆/BenjaminGraham,8.9,聪明的投资者
作者:李娟,9.0,冬牧场
作者:[德]瓦尔特·莫尔斯,9.4,蓝熊船长的13条半命
作者:[英]吉米·哈利（JamesHerriot）,9.0,万物既伟大又渺小
作者:阿城,9.1,阿城精选集
作者:陈秋平/尚荣,9.2,金刚经心经坛经
作者:（美）保罗·萨缪尔森/（美）诺德豪斯,9.1,经济学
作者:泰戈尔,9.1,飞鸟集
作者:顾城,9.1,顾城的诗顾城的画
作者:[日]原研哉,9.1,设计中的设计|全本
作者:宗萨钦哲仁波切,9.0,佛教的见地与修道
作者:何兆武（口述）/文靖,9.1,上学记
作者:(德)叔本华,9.2,人生的智慧
作者:[俄]康·巴乌斯托夫斯基,9.0,金蔷薇
作者:志摩千岁（日）,9.0,张国荣的时光
作者:汪曾祺,9.2,岁朝清供
作者:李允鉌,9.2,华夏意匠
作者:[英]吉米·哈利,9.1,万物刹那又永恒
出版社:中华书局,9.0,論語譯註
作者:梁漱溟,9.0,中国文化要义
作者:鲁迅,9.4,野草
作者:瞿同祖,9.2,中国法律与中国社会
作者:南怀瑾,8.9,庄子諵譁（上）
作者:王力主编,9.2,古代汉语（第一册）
作者:C.S.路易斯,9.2,返璞归真
作者:(英)西蒙﹒辛格,9.0,费马大定理
"作者:[美]加来道雄（Kaku,M）",9.1,超越时空
作者:[清]沈德潛,9.3,古詩源
作者:（葡萄牙）费尔南多·佩索阿,9.0,惶然录
作者:蒋勋,8.9,蒋勋说红楼梦（第一辑）
作者:[美]罗伯特·所罗门,9.0,大问题
作者:（阿根廷）博尔赫斯,9.2,阿莱夫
作者:[美]哈珀·李,9.1,杀死一只反舌鸟
作者:[美]罗伯特·麦基,9.2,故事
作者:[奥]维特根斯坦,9.2,逻辑哲学论
作者:[德]赫尔曼·黑塞,9.2,纳尔齐斯与歌尔德蒙
作者:(意)伊塔洛·卡尔维诺,9.2,新千年文学备忘录
作者:陈忠实,9.1,白鹿原
作者:[阿根廷]豪·路·博尔赫斯,9.4,博尔赫斯全集
作者:张爱玲,9.1,传奇(上下)
作者:[英]毛姆,9.0,人生的枷锁
作者:法兰克·佛杜锡克,9.0,神经外科的黑色喜剧
作者:叶广芩,9.0,采桑子
作者:钱钟书,9.0,围城
作者:钱钟书,9.0,写在人生边上写在人生边上的边上石语
作者:宗萨蒋扬钦哲仁波切,9.1,人间是剧场
作者:饶平如,9.1,平如美棠
作者:雨果,9.2,悲惨世界（上下）
作者:[德]马克斯·韦伯,9.2,学术与政治
作者:[奥地利]斯蒂芬·茨威格,9.0,心灵的焦灼
作者:钱穆,8.9,论语新解
作者:[阿根廷]豪·路·博尔赫斯,9.2,虚构集
作者:米切尔・恩德,9.1,毛毛
作者:何偉,9.3,甲骨文
作者:郑重/王要,9.2,大明宫词
作者:汉密尔顿/杰伊/麦迪逊,9.0,联邦党人文集
作者:王世襄,9.1,锦灰堆
作者:袁越,9.3,来自民间的叛逆
作者:[俄]亚历山大·索尔仁尼琴,9.2,古拉格群岛（上中下）
作者:任东来/陈伟/白雪峰,9.1,美国宪政历程
作者:[美]彼得·萨伯,9.0,洞穴奇案
作者:威勒德·普赖斯,9.7,哈尔罗杰历险记(全套共14册)
作者:RandalE.Bryant/DavidO'Hallaron,9.5,深入理解计算机系统
作者:[英]贡布里希(SirE.H.Gombrich),9.5,艺术的故事
作者:[美]乔治.R.R.马丁,9.5,冰与火之歌（卷三）
作者:[英]A.S.Hornby原著/SallyWehmeier主编/MichaelAshby语音编辑,9.5,牛津高阶英汉双解词典（第六版）
作者:RichardP.Feynman/RobertB.Leighton/MatthewSands,9.5,费恩曼物理学讲义（第1卷）
作者:熊顿,9.2,滚蛋吧!肿瘤君
作者:[清]曹雪芹著/高鹗续,9.6,红楼梦
作者:吴淼,9.4,塔希里亚故事集
作者:[哥伦比亚]加西亚·马尔克斯,9.3,百年孤独
作者:[美]ThomasH.Cormen/CharlesE.Leiserson/RonaldL.Rivest/CliffordStein,9.3,算法导论（原书第2版）
作者:[美]侯世达,9.4,哥德尔、艾舍尔、巴赫
作者:木心口述/陈丹青笔录,9.1,文学回忆录
作者:司马迁/张守节,9.5,史记（全十册）
作者:黄元吉,9.4,道德经
作者:刘慈欣,9.2,三体Ⅲ
作者:[美]乔治.R.R.马丁,9.4,冰与火之歌（卷二）
作者:鲁迅,9.5,鲁迅全集（2005最新修订版）
作者:吴淼,9.4,塔希里亚故事集Ⅱ
作者:吴军,9.0,浪潮之巅
作者:孔丘编订,9.4,诗经
作者:[美]艾萨克·阿西莫夫,9.3,第二基地
作者:林崇德主编,9.4,中国少年儿童百科全书（全四册）
出版社:广西民族出版社,9.3,唐诗三百首
作者:[宋]司馬光編著/[元]胡三省音注,9.4,資治通鑑（全二十冊）
作者:〔法〕大仲马著,9.3,基督山伯爵(上下)
出版社:少年儿童出版社,9.3,风与树的歌
作者:高尔泰,9.3,寻找家园
作者:（美）乔治·R·R·马丁,9.2,冰与火之歌·卷四·群鸦的盛宴（全两册）
作者:玛赞·莎塔碧,9.4,我在伊朗长大
作者:中国社会科学院语言研究所词典编辑室编,9.3,现代汉语词典（修订本）
作者:孙通海译注/方勇译注,9.4,庄子
作者:[俄]费奥多尔·陀思妥耶夫斯基,9.4,卡拉马佐夫兄弟
作者:[美]BrianW.Kernighan/[美]DennisM.Ritchie,9.4,C程序设计语言（第2版·新版）
作者:[意大利]卡尔维诺,9.3,卡尔维诺文集（第三卷）
作者:[美]安·兰德,9.0,源泉
作者:[美]乔治·R.R.马丁,9.3,冰与火之歌（卷一）
作者:兰晓龙,9.4,我的团长我的团（下部）
作者:蘅塘退士/陈婉俊,9.4,唐诗三百首
作者:张纯如,9.3,南京浩劫
作者:王小波,9.4,王小波全集
作者:[英]山姆·麦克布雷尼文/安妮塔·婕朗图,9.3,猜猜我有多爱你
作者:[美]艾萨克·阿西莫夫,9.2,基地
作者:[日]田中芳树,9.2,银河英雄传说
作者:[日]莫莉蓟野,9.1,猫城小事
作者:[伊朗]玛赞·莎塔碧,9.2,我在伊朗长大1
作者:錢穆,9.3,國史大綱（上下）
作者:费孝通,9.3,乡土中国生育制度
作者:鲁兵主编/朱延龄插图,9.3,365夜故事（上下）
作者:[美]艾萨克·阿西莫夫,9.2,基地与帝国
作者:顾准,9.1,顾准文集
作者:[美]米切尔,9.2,飘（全二册）
作者:[英]乔治·奥威尔,9.3,一九八四·动物农场
作者:（清）纳兰性德/赵秀亭（笺校）/冯统一（笺校）,9.2,飲水詞箋校
作者:[美]欧文·斯通,9.2,渴望生活
作者:（英）帕·林·特拉芙斯,9.3,随风而来的玛丽阿姨
作者:[哥伦比亚]加西亚·马尔克斯,9.0,霍乱时期的爱情
作者:[英]毛姆,9.1,月亮和六便士
